"Table 3. Rates(a) of people experiencing homelessness by state/territory, 2006 to 2021"
,"Rates(a)",,,
,"2006","2011","2016","2021"
"NSW","34","40","50","43"
"Vic.","35","42","42","47"
"Qld","48","44","46","44"
"SA","37","36","37","42"
"WA","42","41","36","37"
"Tas.","24","31","32","42"
"NT","792","724","600","564"
"ACT","30","49","40","39"
"Australia","45","48","50","48"

"Please note that there are small random adjustments made to all cell values to protect the confidentiality of data. These adjustments may cause the sum of rows or columns to differ by small amounts from table totals."
"a. Rate per 10,000 of the population are based on the Census count of people."
"Source: Census of Population and Housing 2006, 2011, 2016, 2021."

"Source: Australian Bureau of Statistics, Estimating Homelessness: Census 2021"